-0.087296,-0.026120,0.995809,0.317472
-0.130079,-0.009612,0.991426,0.378694
-0.123340,-0.008861,0.992305,0.378094
-0.127541,-0.009116,0.991768,0.378130
-0.137739,-0.007696,0.990412,0.376082
-0.141548,-0.008484,0.989854,0.376880
0.001466,0.013185,0.995164,0.352582
0.000922,0.009719,0.996234,0.343370
0.001389,0.016455,0.989273,0.342487
-0.024931,-0.041499,0.449992,0.338248
-0.000985,-0.003821,0.999866,0.323628
0.001437,0.005740,0.999731,0.321425
-0.006564,-0.031832,0.954755,0.336320
-0.005630,-0.031063,0.850128,0.324484
-0.005774,-0.030916,0.795052,0.323560
-0.008239,-0.033139,0.574449,0.324210
nan,nan,nan,0.326789
-0.000088,-0.000664,0.999987,0.325482
-0.000036,-0.000344,0.999994,0.328967
-0.003006,-0.022603,0.932226,0.323457
-0.003586,-0.024779,0.924661,0.324664
-0.004765,-0.028559,0.834362,0.322969
0.122125,0.023499,0.991979,0.354301
0.074794,0.013063,0.997030,0.352567
0.102479,0.019337,0.994378,0.352501
0.111969,0.019576,0.993338,0.352279
0.097890,0.016152,0.994933,0.352650
0.056875,0.009131,0.998291,0.351231
0.092071,0.013387,0.995544,0.351826
0.031690,0.003264,0.999484,0.341751
0.032115,0.002587,0.999473,0.336756
0.055765,0.002144,0.998422,0.337614
0.132305,-0.005207,0.991155,0.333465
-0.013924,0.000210,0.999902,0.337286
0.120819,0.024417,0.992098,0.336974
0.129389,0.019457,0.991088,0.327577
0.157354,0.026058,0.986677,0.331657
0.154870,0.024078,0.987148,0.332129
0.156169,0.020836,0.987023,0.331044
0.155071,0.021112,0.987216,0.329596
0.154208,0.018419,0.987478,0.324364
0.201382,0.013421,0.978865,0.286977
0.760983,0.047655,0.646984,0.293507
0.133371,0.002672,0.990782,0.289920
0.671027,-0.033608,0.740641,0.290806
0.035185,-0.000340,0.999361,0.293870
0.124102,0.051532,0.990821,0.304063
0.511597,-0.010969,0.858735,0.324683
0.181382,0.016457,0.983095,0.319114
0.012546,-0.004375,0.999911,0.284032
-0.200342,0.009525,0.979000,0.300458
0.616996,-0.165922,0.769106,0.304077
0.392068,-0.058706,0.917904,0.304953
0.576076,-0.083106,0.813161,0.308472
0.332915,-0.089232,0.938498,0.302016
0.527617,-0.126211,0.840050,0.306791
0.497393,-0.098921,0.861855,0.301487
0.209842,0.021253,0.977020,0.296615
0.411345,-0.061937,0.909356,0.290075
0.421606,-0.058732,0.904874,0.295528
0.535105,-0.181477,0.821286,0.311505
0.903410,0.021254,0.428250,0.311493
0.538540,-0.068955,0.839441,0.315207
0.021317,-0.000624,0.999764,0.316512
0.082799,-0.015810,0.996416,0.292883
0.196334,-0.063826,0.978282,0.304451
0.267338,-0.103650,0.957957,0.300340
-0.071288,0.020013,0.997254,0.308637
0.648483,-0.201952,0.733397,0.305342
0.713845,-0.157470,0.682237,0.317045
0.430337,-0.084077,0.898498,0.322348
0.903226,-0.160968,0.397624,0.327280
0.673743,-0.103393,0.731676,0.327799
0.458323,-0.277556,0.843391,0.310861
0.867934,0.104479,0.485393,0.336726
0.742465,0.338903,0.576691,0.342356
0.752746,0.230442,0.615799,0.335268
0.750091,0.214881,0.624761,0.335708
0.732197,0.216342,0.644884,0.339544
0.715436,0.243853,0.652942,0.344711
0.215339,-0.015159,0.975682,0.320944
0.006112,-0.000721,0.999980,0.329678
-0.097799,0.019828,0.994862,0.326757
-0.118967,0.062803,0.990802,0.298469
0.699640,-0.427616,0.563753,0.314819
0.291098,-0.110619,0.950237,0.335889
0.487976,-0.166976,0.856302,0.316438
0.280780,-0.092475,0.953670,0.308572
-0.515957,0.024311,0.855769,0.295573
0.554904,0.512912,0.652027,0.305581
